ObsFarm#,FID0,Xf,Yf,Ecology,Xd,Yd,DistName,DistID,Region,REGION,DistKey,District,pH,SOC,Fe_meq100g,Al_meq100g,Clay
136,1163,-2.711,7.081,MSNW,-2.622448196,7.072896329,Goaso,BA4,Brong Ahafo,BA,GOASO,Goaso,6.31,0.602,0.054,2.62,22.76
137,1425,-1.095,5.898,ME,-1.089119806,6.00923039,Oda,ER4,Eastern,ER,ODA,Oda,5.22,0.178,0.054,9.9,10.76
138,1131,-3.054,7.049,MSNW,-2.949514737,7.052434103,Nkrankwanta,BA3,Brong Ahafo,BA,NKRANKWANTA,Nkrankwanta,5.69,0.766,0.055,5.71,18.76
139,1165,-2.793,6.938,MSNW,-2.622448196,7.072896329,Goaso,BA4,Brong Ahafo,BA,GOASO,Goaso,5.52,0.84,0.055,4.08,18.76
140,1328,-0.32,6.075,DSIZ,-0.116434066,6.222062609,Oyoko,ER9,Eastern,ER,OYOKO,Oyoko,6.31,0.227,0.055,6.76,30.76
141,1377,-0.435,6.058,DSIZ,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,5.35,0.494,0.055,11.58,16.76
142,1513,0.463,7.433,MSSE,0.3230078,7.477678956,Jasikan,VR2,Volta,VR,JASIKAN,Jasikan,5.03,0.373,0.055,7.36,18.76
143,1200,-2.437,6.84,MSNW,-2.411475117,6.864890163,Dadiesoba,BA2,Brong Ahafo,BA,DADIESOABA,Dadiesoaba,6.53,0.594,0.055,1.56,26.76
144,1382,-0.469,6,DSIZ,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,5.84,0.277,0.055,13.28,16.76
145,1637,-2.85,6.374,ME,-2.908183268,6.419964677,Juaboso,WN8,Western North,WN,JUABOSO,Juaboso,5.48,0.185,0.055,3.21,10.76
146,1721,-1.956,5.255,WE,-2.040812533,5.359265342,Tarkwa,WS6,Western South,WS,TARKWA,Tarkwa,4.32,0.579,0.055,7.99,20.76
147,1255,-1.261,5.805,ME,-1.388230252,5.776940259,Fosu,CR5,Central,CR,FOSU,Assin Foso,6.06,0.259,0.056,2.64,6.76
148,1576,-3.154,6.596,ME,-3.126562592,6.535882038,Essam,WN9,Western North,WN,ESSAM,Essam,5.41,0.369,0.056,4.94,22.76
149,1562,-2.793,6.299,ME,-2.832658207,6.218420317,Bodi,WN5,Western North,WN,BODI,Bodi,4.98,0.401,0.056,6.54,28.76
150,1554,-3.047,6.848,MSNW,-3.057356163,6.838899362,Adaborkrom,WN11,Western North,WN,ADABORKROM,Adabokrom,6.48,0.226,0.056,5.01,16.76
151,1420,-1.036,5.818,ME,-1.089119806,6.00923039,Oda,ER4,Eastern,ER,ODA,Oda,5.97,0.381,0.057,8.87,30.76
152,1736,-1.629,5.198,MSSE,-1.692781412,5.212855041,Daboase,WS3,Western South,WS,DABOASE,Daboase,5.8,0.226,0.057,4.24,12.76
153,1189,-2.367,7.094,MSNW,-2.196283975,7.190690197,Bechem,BA5,Brong Ahafo,BA,BECHEM,Bechem,5.36,0.802,0.057,4.43,26.76
154,1389,-0.555,6.003,MSSE,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,6.21,0.304,0.057,16.61,24.76
155,1130,-3.042,6.986,MSNW,-2.949514737,7.052434103,Nkrankwanta,BA3,Brong Ahafo,BA,NKRANKWANTA,Nkrankwanta,5.54,0.393,0.057,3.76,10.76
156,1619,-2.576,6.097,ME,-2.629587709,6.059271224,Akontombra,WN2,Western North,WN,AKONTOMBRA,Akontombra,5.48,0.231,0.057,2.11,24.76
157,1208,-0.688,5.657,DSIZ,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,5.88,0.367,0.057,2.81,12.76
158,1088,-1.143,6.495,MSSE,-1.063797271,6.862212338,Juaso,AR8,Ashanti,AR,JUASO,Juaso,5.65,0.293,0.057,3.25,12.76
159,1144,-2.528,7.424,DSIZ,-2.374398011,7.706209574,Berekum,BA7,Brong Ahafo,BA,BEREKUM,Berekum,5.93,0.654,0.057,4.86,22.76
160,1653,-2.949,6.328,ME,-3.035834694,6.206728686,Dadieso,WN4,Western North,WN,DADIESO,Dadieso,6,0.523,0.057,5.37,22.76
161,1009,-2.198,6.856,MSNW,-2.029235028,6.950203272,Tepa,AR9,Ashanti,AR,TEPA,Tepa,6.31,0.573,0.057,10.07,22.76
