Year,Region,Annualmaxdailytempforecast,Country
2078,Northern,42.01,Ghana
2079,Northern,42.29,Ghana
2080,Northern,42.08,Ghana
2081,Northern,41.92,Ghana
2082,Northern,42.23,Ghana
2083,Northern,42.04,Ghana
2084,Northern,41.88,Ghana
2085,Northern,42.12,Ghana
2086,Northern,42.01,Ghana
2087,Northern,42.07,Ghana
2088,Northern,42.15,Ghana
2089,Northern,41.91,Ghana
2090,Northern,42.27,Ghana
2091,Northern,42.01,Ghana
2092,Northern,42.04,Ghana
2093,Northern,41.87,Ghana
2094,Northern,41.97,Ghana
2095,Northern,42.11,Ghana
2096,Northern,42.01,Ghana
2097,Northern,42.08,Ghana
2098,Northern,41.98,Ghana
2099,Northern,41.84,Ghana
2100,Northern,42.37,Ghana
2015,Upper East,42.19,Ghana
2016,Upper East,42.15,Ghana
2017,Upper East,41.93,Ghana
2018,Upper East,42.24,Ghana
2019,Upper East,42.16,Ghana
2020,Upper East,42.29,Ghana
2021,Upper East,42.32,Ghana
2022,Upper East,42.52,Ghana
2023,Upper East,42.39,Ghana
2024,Upper East,42.61,Ghana
2025,Upper East,42.57,Ghana
2026,Upper East,42.75,Ghana
2027,Upper East,42.34,Ghana
2028,Upper East,42.72,Ghana
2029,Upper East,42.73,Ghana
2030,Upper East,42.39,Ghana
2031,Upper East,42.69,Ghana
2032,Upper East,42.75,Ghana
2033,Upper East,42.65,Ghana
2034,Upper East,43.1,Ghana
2035,Upper East,42.89,Ghana
2036,Upper East,43.13,Ghana
2037,Upper East,43.13,Ghana
2038,Upper East,42.89,Ghana
2039,Upper East,43.07,Ghana
2040,Upper East,42.97,Ghana
2041,Upper East,42.7,Ghana
2042,Upper East,42.9,Ghana
2043,Upper East,43.23,Ghana
2044,Upper East,43.09,Ghana
2045,Upper East,42.94,Ghana
2046,Upper East,43.22,Ghana
2047,Upper East,43.01,Ghana
2048,Upper East,42.82,Ghana
2049,Upper East,43.18,Ghana
2050,Upper East,43.54,Ghana
2051,Upper East,43.25,Ghana
2052,Upper East,43.16,Ghana
2053,Upper East,42.92,Ghana
2054,Upper East,43.1,Ghana
2055,Upper East,43.02,Ghana
2056,Upper East,43.38,Ghana
2057,Upper East,43.31,Ghana
2058,Upper East,43.05,Ghana
2059,Upper East,43.27,Ghana
2060,Upper East,43.33,Ghana
2061,Upper East,43.13,Ghana
2062,Upper East,43.18,Ghana
2063,Upper East,42.95,Ghana
2064,Upper East,43.29,Ghana
2065,Upper East,43.49,Ghana
2066,Upper East,43.05,Ghana
2067,Upper East,43.48,Ghana
2068,Upper East,42.99,Ghana
2069,Upper East,43.46,Ghana
2070,Upper East,43.17,Ghana
2071,Upper East,43.25,Ghana
2072,Upper East,43.02,Ghana
2073,Upper East,43.44,Ghana
2074,Upper East,43.22,Ghana
2075,Upper East,43.08,Ghana
2076,Upper East,43.33,Ghana
2077,Upper East,43.21,Ghana
2078,Upper East,43.13,Ghana
2079,Upper East,43.57,Ghana
2080,Upper East,43.06,Ghana
2081,Upper East,42.98,Ghana
2082,Upper East,43.4,Ghana
