Year,Region,AnnualForecastedPrecip(mm),Country
2048,Greater Accra,1139.9,Ghana
2049,Greater Accra,1097.84,Ghana
2050,Greater Accra,1110.24,Ghana
2051,Greater Accra,1123.0,Ghana
2052,Greater Accra,1153.13,Ghana
2053,Greater Accra,1119.77,Ghana
2054,Greater Accra,1012.45,Ghana
2055,Greater Accra,1028.49,Ghana
2056,Greater Accra,1051.29,Ghana
2057,Greater Accra,1161.76,Ghana
2058,Greater Accra,1136.86,Ghana
2059,Greater Accra,1146.13,Ghana
2060,Greater Accra,1151.63,Ghana
2061,Greater Accra,1158.16,Ghana
2062,Greater Accra,1113.24,Ghana
2063,Greater Accra,1168.89,Ghana
2064,Greater Accra,1193.3,Ghana
2065,Greater Accra,1237.46,Ghana
2066,Greater Accra,1167.0,Ghana
2067,Greater Accra,1224.71,Ghana
2068,Greater Accra,1098.74,Ghana
2069,Greater Accra,1088.91,Ghana
2070,Greater Accra,1135.5,Ghana
2071,Greater Accra,1120.54,Ghana
2072,Greater Accra,1086.96,Ghana
2073,Greater Accra,1080.73,Ghana
2074,Greater Accra,1064.82,Ghana
2075,Greater Accra,1141.59,Ghana
2076,Greater Accra,1089.8,Ghana
2077,Greater Accra,1084.8,Ghana
2078,Greater Accra,1026.66,Ghana
2079,Greater Accra,1094.38,Ghana
2080,Greater Accra,1057.64,Ghana
2081,Greater Accra,1064.07,Ghana
2082,Greater Accra,1084.64,Ghana
2083,Greater Accra,1134.17,Ghana
2084,Greater Accra,1154.25,Ghana
2085,Greater Accra,1096.11,Ghana
2086,Greater Accra,1121.07,Ghana
2087,Greater Accra,1130.63,Ghana
2088,Greater Accra,1152.78,Ghana
2089,Greater Accra,1018.53,Ghana
2090,Greater Accra,1096.89,Ghana
2091,Greater Accra,1192.43,Ghana
2092,Greater Accra,1159.39,Ghana
2093,Greater Accra,1183.38,Ghana
2094,Greater Accra,1047.19,Ghana
2095,Greater Accra,1104.59,Ghana
2096,Greater Accra,1094.64,Ghana
2097,Greater Accra,1107.67,Ghana
2098,Greater Accra,1207.74,Ghana
2099,Greater Accra,1123.86,Ghana
2100,Greater Accra,1152.08,Ghana
2015,Northern,1081.8,Ghana
2016,Northern,1094.89,Ghana
2017,Northern,1039.93,Ghana
2018,Northern,1113.95,Ghana
2019,Northern,1062.9,Ghana
2020,Northern,1077.82,Ghana
2021,Northern,1095.04,Ghana
2022,Northern,1124.37,Ghana
2023,Northern,1095.78,Ghana
2024,Northern,1099.82,Ghana
2025,Northern,1144.35,Ghana
2026,Northern,1144.49,Ghana
2027,Northern,1096.94,Ghana
2028,Northern,1122.21,Ghana
2029,Northern,1140.93,Ghana
2030,Northern,1088.2,Ghana
2031,Northern,1121.55,Ghana
2032,Northern,1034.04,Ghana
2033,Northern,1173.14,Ghana
2034,Northern,1119.35,Ghana
2035,Northern,1102.71,Ghana
2036,Northern,1101.63,Ghana
2037,Northern,1136.75,Ghana
2038,Northern,1124.56,Ghana
2039,Northern,1099.57,Ghana
2040,Northern,1129.15,Ghana
2041,Northern,1131.7,Ghana
2042,Northern,1109.32,Ghana
2043,Northern,1137.83,Ghana
2044,Northern,1152.34,Ghana
2045,Northern,1118.63,Ghana
2046,Northern,1088.25,Ghana
2047,Northern,1112.42,Ghana
2048,Northern,1072.79,Ghana
2049,Northern,1161.2,Ghana
2050,Northern,1123.04,Ghana
2051,Northern,1077.5,Ghana
2052,Northern,1107.51,Ghana
2053,Northern,1167.05,Ghana
2054,Northern,1106.18,Ghana
2055,Northern,1159.67,Ghana
2056,Northern,1064.24,Ghana
2057,Northern,1070.28,Ghana
2058,Northern,1133.53,Ghana
2059,Northern,1118.84,Ghana
2060,Northern,1042.37,Ghana
2061,Northern,1126.7,Ghana
2062,Northern,1104.72,Ghana
2063,Northern,1165.52,Ghana
2064,Northern,1108.66,Ghana
2065,Northern,1119.38,Ghana
2066,Northern,1079.33,Ghana
2067,Northern,1103.42,Ghana
2068,Northern,1089.25,Ghana
2069,Northern,1129.16,Ghana
2070,Northern,1121.51,Ghana
2071,Northern,1087.11,Ghana
2072,Northern,1073.0,Ghana
2073,Northern,1129.7,Ghana
2074,Northern,1078.85,Ghana
2075,Northern,1119.49,Ghana
2076,Northern,1122.8,Ghana
2077,Northern,1096.0,Ghana
2078,Northern,1083.31,Ghana
2079,Northern,1117.52,Ghana
2080,Northern,1102.31,Ghana
2081,Northern,1093.52,Ghana
2082,Northern,1107.14,Ghana
2083,Northern,1067.34,Ghana
2084,Northern,1133.79,Ghana
2085,Northern,1038.99,Ghana
2086,Northern,1156.81,Ghana
2087,Northern,1086.05,Ghana
2088,Northern,1126.54,Ghana
2089,Northern,1072.9,Ghana
2090,Northern,1103.9,Ghana
2091,Northern,1095.82,Ghana
2092,Northern,1100.63,Ghana
2093,Northern,1141.41,Ghana
2094,Northern,1139.43,Ghana
2095,Northern,1044.55,Ghana
2096,Northern,1124.49,Ghana
2097,Northern,1090.6,Ghana
2098,Northern,1113.66,Ghana
2099,Northern,1097.34,Ghana
2100,Northern,1127.39,Ghana
2015,Upper East,965.52,Ghana
2016,Upper East,982.79,Ghana
2017,Upper East,965.32,Ghana
2018,Upper East,977.92,Ghana
2019,Upper East,942.67,Ghana
2020,Upper East,974.71,Ghana
2021,Upper East,967.92,Ghana
2022,Upper East,953.37,Ghana
2023,Upper East,950.31,Ghana
2024,Upper East,938.0,Ghana
2025,Upper East,1001.25,Ghana
2026,Upper East,1009.44,Ghana
2027,Upper East,973.48,Ghana
2028,Upper East,1029.24,Ghana
2029,Upper East,1033.01,Ghana
2030,Upper East,960.63,Ghana
2031,Upper East,960.53,Ghana
2032,Upper East,900.29,Ghana
2033,Upper East,1025.64,Ghana
2034,Upper East,979.47,Ghana
2035,Upper East,955.88,Ghana
2036,Upper East,973.76,Ghana
2037,Upper East,1025.16,Ghana
2038,Upper East,1041.05,Ghana
2039,Upper East,982.58,Ghana
2040,Upper East,1046.36,Ghana
2041,Upper East,985.98,Ghana
2042,Upper East,970.03,Ghana
2043,Upper East,1019.35,Ghana
2044,Upper East,1026.13,Ghana
2045,Upper East,971.07,Ghana
2046,Upper East,977.4,Ghana
2047,Upper East,986.26,Ghana
2048,Upper East,957.11,Ghana
2049,Upper East,1034.65,Ghana
2050,Upper East,978.59,Ghana
2051,Upper East,972.98,Ghana
2052,Upper East,971.86,Ghana
2053,Upper East,1057.74,Ghana
2054,Upper East,977.6,Ghana
2055,Upper East,1030.44,Ghana
2056,Upper East,990.18,Ghana
2057,Upper East,930.18,Ghana
2058,Upper East,1013.55,Ghana
2059,Upper East,980.51,Ghana
2060,Upper East,931.71,Ghana
2061,Upper East,970.1,Ghana
2062,Upper East,989.21,Ghana
2063,Upper East,1040.49,Ghana
2064,Upper East,981.73,Ghana
2065,Upper East,983.26,Ghana
2066,Upper East,946.18,Ghana
2067,Upper East,899.39,Ghana
2068,Upper East,967.19,Ghana
2069,Upper East,1032.12,Ghana
2070,Upper East,930.32,Ghana
2071,Upper East,943.84,Ghana
2072,Upper East,963.68,Ghana
2073,Upper East,991.97,Ghana
