Year,Region,Annualmeantempforecast,Country
2046,Northern,29.05,Ghana
2047,Northern,29.05,Ghana
2048,Northern,29.03,Ghana
2049,Northern,29.06,Ghana
2050,Northern,29.13,Ghana
2051,Northern,29.16,Ghana
2052,Northern,29.09,Ghana
2053,Northern,28.95,Ghana
2054,Northern,29.04,Ghana
2055,Northern,28.96,Ghana
2056,Northern,29.14,Ghana
2057,Northern,29.09,Ghana
2058,Northern,28.94,Ghana
2059,Northern,29.07,Ghana
2060,Northern,29.18,Ghana
2061,Northern,29.19,Ghana
2062,Northern,28.99,Ghana
2063,Northern,29.07,Ghana
2064,Northern,29.14,Ghana
2065,Northern,28.99,Ghana
2066,Northern,29.16,Ghana
2067,Northern,29.18,Ghana
2068,Northern,29.23,Ghana
2069,Northern,29.15,Ghana
2070,Northern,29.3,Ghana
2071,Northern,29.16,Ghana
2072,Northern,29.02,Ghana
2073,Northern,29.09,Ghana
2074,Northern,29.15,Ghana
2075,Northern,29.16,Ghana
2076,Northern,28.95,Ghana
2077,Northern,29.19,Ghana
2078,Northern,29.2,Ghana
2079,Northern,29.18,Ghana
2080,Northern,29.04,Ghana
2081,Northern,29.19,Ghana
2082,Northern,29.32,Ghana
2083,Northern,29.01,Ghana
2084,Northern,29.05,Ghana
2085,Northern,29.01,Ghana
2086,Northern,29.26,Ghana
2087,Northern,29.01,Ghana
2088,Northern,29.01,Ghana
2089,Northern,28.97,Ghana
2090,Northern,28.9,Ghana
2091,Northern,29.21,Ghana
2092,Northern,29.03,Ghana
2093,Northern,29.02,Ghana
2094,Northern,29.02,Ghana
2095,Northern,29.0,Ghana
2096,Northern,28.78,Ghana
2097,Northern,28.87,Ghana
2098,Northern,29.07,Ghana
2099,Northern,29.14,Ghana
2100,Northern,28.94,Ghana
2015,Upper East,28.84,Ghana
2016,Upper East,28.58,Ghana
2017,Upper East,28.71,Ghana
2018,Upper East,28.94,Ghana
2019,Upper East,29.16,Ghana
2020,Upper East,29.16,Ghana
2021,Upper East,29.08,Ghana
2022,Upper East,28.98,Ghana
2023,Upper East,29.06,Ghana
2024,Upper East,29.23,Ghana
2025,Upper East,29.2,Ghana
2026,Upper East,29.33,Ghana
2027,Upper East,29.16,Ghana
2028,Upper East,29.34,Ghana
2029,Upper East,29.28,Ghana
2030,Upper East,29.39,Ghana
2031,Upper East,29.5,Ghana
2032,Upper East,29.4,Ghana
2033,Upper East,29.47,Ghana
2034,Upper East,29.46,Ghana
2035,Upper East,29.39,Ghana
2036,Upper East,29.46,Ghana
2037,Upper East,29.48,Ghana
2038,Upper East,29.46,Ghana
2039,Upper East,29.43,Ghana
2040,Upper East,29.37,Ghana
2041,Upper East,29.43,Ghana
2042,Upper East,29.58,Ghana
2043,Upper East,29.5,Ghana
2044,Upper East,29.52,Ghana
2045,Upper East,29.43,Ghana
