Year,Region,AnnualForecastedDrought(SPEI Index),Country
2015,Upper East,0.0,Ghana
2016,Upper East,0.0,Ghana
2017,Upper East,0.0,Ghana
2018,Upper East,0.0,Ghana
2019,Upper East,0.0,Ghana
2020,Upper East,0.0,Ghana
2021,Upper East,0.0,Ghana
2022,Upper East,0.0,Ghana
2023,Upper East,-0.0,Ghana
2024,Upper East,-0.0,Ghana
2025,Upper East,-0.0,Ghana
2026,Upper East,0.0,Ghana
2027,Upper East,0.0,Ghana
2028,Upper East,0.0,Ghana
2029,Upper East,0.0,Ghana
2030,Upper East,-0.11,Ghana
2031,Upper East,0.0,Ghana
2032,Upper East,-0.06,Ghana
2033,Upper East,0.0,Ghana
2034,Upper East,0.0,Ghana
2035,Upper East,0.0,Ghana
2036,Upper East,0.0,Ghana
2037,Upper East,0.0,Ghana
2038,Upper East,0.0,Ghana
2039,Upper East,0.0,Ghana
2040,Upper East,0.0,Ghana
2041,Upper East,0.0,Ghana
2042,Upper East,0.0,Ghana
2043,Upper East,0.0,Ghana
2044,Upper East,0.0,Ghana
2045,Upper East,0.0,Ghana
2046,Upper East,0.0,Ghana
2047,Upper East,-0.0,Ghana
2048,Upper East,-0.08,Ghana
2049,Upper East,0.0,Ghana
2050,Upper East,0.0,Ghana
2051,Upper East,0.0,Ghana
2052,Upper East,0.0,Ghana
2053,Upper East,0.0,Ghana
2054,Upper East,-0.0,Ghana
2055,Upper East,0.0,Ghana
2056,Upper East,0.0,Ghana
2057,Upper East,-0.0,Ghana
2058,Upper East,0.0,Ghana
2059,Upper East,0.0,Ghana
2060,Upper East,0.0,Ghana
2061,Upper East,-0.01,Ghana
2062,Upper East,0.0,Ghana
2063,Upper East,0.0,Ghana
2064,Upper East,0.0,Ghana
2065,Upper East,0.0,Ghana
2066,Upper East,0.02,Ghana
2067,Upper East,0.0,Ghana
2068,Upper East,-0.0,Ghana
2069,Upper East,0.0,Ghana
2070,Upper East,0.0,Ghana
2071,Upper East,0.0,Ghana
2072,Upper East,0.0,Ghana
2073,Upper East,0.0,Ghana
2074,Upper East,0.0,Ghana
2075,Upper East,0.0,Ghana
2076,Upper East,0.0,Ghana
2077,Upper East,0.0,Ghana
2078,Upper East,0.0,Ghana
2079,Upper East,0.0,Ghana
2080,Upper East,0.0,Ghana
2081,Upper East,0.0,Ghana
2082,Upper East,0.0,Ghana
2083,Upper East,0.0,Ghana
2084,Upper East,0.0,Ghana
2085,Upper East,-0.03,Ghana
2086,Upper East,0.0,Ghana
2087,Upper East,0.0,Ghana
2088,Upper East,0.0,Ghana
2089,Upper East,0.0,Ghana
2090,Upper East,-0.0,Ghana
2091,Upper East,0.0,Ghana
2092,Upper East,0.0,Ghana
2093,Upper East,0.0,Ghana
2094,Upper East,0.0,Ghana
2095,Upper East,-0.01,Ghana
2096,Upper East,-0.04,Ghana
2097,Upper East,0.0,Ghana
2098,Upper East,-0.21,Ghana
2099,Upper East,0.0,Ghana
2100,Upper East,-0.0,Ghana
2015,Upper West,0.0,Ghana
2016,Upper West,0.0,Ghana
2017,Upper West,0.0,Ghana
2018,Upper West,0.0,Ghana
2019,Upper West,0.0,Ghana
2020,Upper West,0.0,Ghana
2021,Upper West,0.0,Ghana
2022,Upper West,0.0,Ghana
2023,Upper West,0.0,Ghana
2024,Upper West,0.0,Ghana
2025,Upper West,0.0,Ghana
2026,Upper West,0.0,Ghana
2027,Upper West,0.0,Ghana
2028,Upper West,0.0,Ghana
2029,Upper West,0.0,Ghana
2030,Upper West,-0.01,Ghana
2031,Upper West,-0.02,Ghana
2032,Upper West,-0.01,Ghana
2033,Upper West,0.0,Ghana
2034,Upper West,0.01,Ghana
2035,Upper West,0.0,Ghana
2036,Upper West,0.0,Ghana
2037,Upper West,0.0,Ghana
2038,Upper West,0.0,Ghana
2039,Upper West,0.0,Ghana
2040,Upper West,0.09,Ghana
2041,Upper West,0.0,Ghana
2042,Upper West,0.0,Ghana
2043,Upper West,0.0,Ghana
2044,Upper West,0.0,Ghana
2045,Upper West,0.0,Ghana
2046,Upper West,0.0,Ghana
2047,Upper West,0.0,Ghana
2048,Upper West,-0.08,Ghana
2049,Upper West,0.0,Ghana
2050,Upper West,0.0,Ghana
2051,Upper West,0.0,Ghana
2052,Upper West,0.0,Ghana
2053,Upper West,0.0,Ghana
2054,Upper West,0.0,Ghana
2055,Upper West,0.0,Ghana
2056,Upper West,0.0,Ghana
2057,Upper West,0.0,Ghana
2058,Upper West,0.0,Ghana
2059,Upper West,0.0,Ghana
2060,Upper West,0.0,Ghana
2061,Upper West,-0.01,Ghana
2062,Upper West,0.0,Ghana
2063,Upper West,0.0,Ghana
2064,Upper West,0.0,Ghana
2065,Upper West,0.0,Ghana
2066,Upper West,0.02,Ghana
2067,Upper West,0.0,Ghana
2068,Upper West,0.0,Ghana
2069,Upper West,0.0,Ghana
2070,Upper West,0.0,Ghana
2071,Upper West,0.0,Ghana
2072,Upper West,-0.0,Ghana
2073,Upper West,0.0,Ghana
2074,Upper West,0.0,Ghana
2075,Upper West,-0.01,Ghana
2076,Upper West,0.0,Ghana
2077,Upper West,0.0,Ghana
2078,Upper West,0.0,Ghana
2079,Upper West,0.0,Ghana
2080,Upper West,0.0,Ghana
2081,Upper West,0.0,Ghana
2082,Upper West,0.0,Ghana
2083,Upper West,0.0,Ghana
2084,Upper West,0.0,Ghana
2085,Upper West,-0.01,Ghana
2086,Upper West,0.0,Ghana
2087,Upper West,0.0,Ghana
2088,Upper West,0.0,Ghana
2089,Upper West,0.0,Ghana
2090,Upper West,-0.0,Ghana
2091,Upper West,0.0,Ghana
2092,Upper West,0.0,Ghana
2093,Upper West,0.0,Ghana
2094,Upper West,-0.01,Ghana
2095,Upper West,-0.18,Ghana
2096,Upper West,-0.03,Ghana
2097,Upper West,0.0,Ghana
2098,Upper West,-0.04,Ghana
2099,Upper West,0.0,Ghana
2100,Upper West,0.0,Ghana
2015,Volta,0.0,Ghana
2016,Volta,0.0,Ghana
2017,Volta,-0.08,Ghana
2018,Volta,0.0,Ghana
2019,Volta,0.0,Ghana
2020,Volta,-0.01,Ghana
2021,Volta,-0.03,Ghana
2022,Volta,-0.02,Ghana
2023,Volta,0.0,Ghana
2024,Volta,0.0,Ghana
2025,Volta,0.0,Ghana
2026,Volta,0.0,Ghana
2027,Volta,0.0,Ghana
2028,Volta,0.0,Ghana
2029,Volta,0.0,Ghana
2030,Volta,0.0,Ghana
2031,Volta,-0.13,Ghana
2032,Volta,-0.06,Ghana
2033,Volta,0.0,Ghana
2034,Volta,0.02,Ghana
2035,Volta,0.0,Ghana
2036,Volta,0.0,Ghana
2037,Volta,0.0,Ghana
2038,Volta,0.0,Ghana
2039,Volta,0.0,Ghana
2040,Volta,0.0,Ghana
2041,Volta,0.0,Ghana
2042,Volta,0.0,Ghana
2043,Volta,-0.0,Ghana
2044,Volta,0.0,Ghana
2045,Volta,0.0,Ghana
2046,Volta,0.0,Ghana
2047,Volta,0.0,Ghana
2048,Volta,0.0,Ghana
2049,Volta,0.0,Ghana
2050,Volta,0.0,Ghana
2051,Volta,0.0,Ghana
2052,Volta,-0.13,Ghana
2053,Volta,0.0,Ghana
2054,Volta,0.0,Ghana
2055,Volta,0.0,Ghana
2056,Volta,0.0,Ghana
2057,Volta,0.0,Ghana
2058,Volta,0.0,Ghana
2059,Volta,0.0,Ghana
2060,Volta,0.0,Ghana
2061,Volta,0.0,Ghana
2062,Volta,0.0,Ghana
2063,Volta,-0.0,Ghana
2064,Volta,0.0,Ghana
2065,Volta,0.0,Ghana
2066,Volta,0.0,Ghana
