Year,Region,Annualmindailytempforecast,Country
2058,Eastern,19.42,Ghana
2059,Eastern,19.31,Ghana
2060,Eastern,19.35,Ghana
2061,Eastern,19.52,Ghana
2062,Eastern,19.85,Ghana
2063,Eastern,19.09,Ghana
2064,Eastern,19.81,Ghana
2065,Eastern,19.23,Ghana
2066,Eastern,19.43,Ghana
2067,Eastern,19.63,Ghana
2068,Eastern,19.29,Ghana
2069,Eastern,19.99,Ghana
2070,Eastern,19.53,Ghana
2071,Eastern,19.82,Ghana
2072,Eastern,19.53,Ghana
2073,Eastern,19.41,Ghana
2074,Eastern,19.46,Ghana
2075,Eastern,19.69,Ghana
2076,Eastern,19.09,Ghana
2077,Eastern,19.34,Ghana
2078,Eastern,19.35,Ghana
2079,Eastern,19.42,Ghana
2080,Eastern,19.42,Ghana
2081,Eastern,19.59,Ghana
2082,Eastern,19.26,Ghana
2083,Eastern,18.78,Ghana
2084,Eastern,19.21,Ghana
2085,Eastern,19.24,Ghana
2086,Eastern,19.57,Ghana
2087,Eastern,19.49,Ghana
2088,Eastern,19.42,Ghana
2089,Eastern,19.6,Ghana
2090,Eastern,19.56,Ghana
2091,Eastern,19.31,Ghana
2092,Eastern,19.26,Ghana
2093,Eastern,19.6,Ghana
2094,Eastern,19.51,Ghana
2095,Eastern,18.99,Ghana
2096,Eastern,19.3,Ghana
2097,Eastern,19.33,Ghana
2098,Eastern,19.01,Ghana
2099,Eastern,19.63,Ghana
2100,Eastern,19.27,Ghana
2015,Greater Accra,21.47,Ghana
2016,Greater Accra,21.54,Ghana
2017,Greater Accra,21.68,Ghana
2018,Greater Accra,21.82,Ghana
2019,Greater Accra,21.76,Ghana
2020,Greater Accra,21.89,Ghana
2021,Greater Accra,21.7,Ghana
2022,Greater Accra,21.75,Ghana
2023,Greater Accra,21.89,Ghana
2024,Greater Accra,21.89,Ghana
2025,Greater Accra,21.97,Ghana
2026,Greater Accra,22.02,Ghana
2027,Greater Accra,22.0,Ghana
2028,Greater Accra,22.2,Ghana
2029,Greater Accra,21.96,Ghana
2030,Greater Accra,21.92,Ghana
2031,Greater Accra,22.0,Ghana
2032,Greater Accra,22.09,Ghana
2033,Greater Accra,22.16,Ghana
2034,Greater Accra,22.11,Ghana
2035,Greater Accra,22.2,Ghana
2036,Greater Accra,22.28,Ghana
2037,Greater Accra,22.3,Ghana
2038,Greater Accra,22.19,Ghana
2039,Greater Accra,22.26,Ghana
2040,Greater Accra,22.11,Ghana
2041,Greater Accra,22.22,Ghana
2042,Greater Accra,22.16,Ghana
2043,Greater Accra,22.2,Ghana
2044,Greater Accra,22.35,Ghana
2045,Greater Accra,22.18,Ghana
2046,Greater Accra,22.35,Ghana
2047,Greater Accra,22.27,Ghana
2048,Greater Accra,22.44,Ghana
2049,Greater Accra,22.46,Ghana
2050,Greater Accra,22.41,Ghana
2051,Greater Accra,22.24,Ghana
2052,Greater Accra,22.35,Ghana
2053,Greater Accra,22.34,Ghana
2054,Greater Accra,22.27,Ghana
2055,Greater Accra,22.37,Ghana
2056,Greater Accra,22.3,Ghana
2057,Greater Accra,22.22,Ghana
2058,Greater Accra,22.37,Ghana
2059,Greater Accra,22.28,Ghana
2060,Greater Accra,22.13,Ghana
2061,Greater Accra,22.36,Ghana
2062,Greater Accra,22.41,Ghana
2063,Greater Accra,22.35,Ghana
2064,Greater Accra,22.53,Ghana
2065,Greater Accra,22.43,Ghana
2066,Greater Accra,22.41,Ghana
2067,Greater Accra,22.53,Ghana
2068,Greater Accra,22.35,Ghana
2069,Greater Accra,22.33,Ghana
2070,Greater Accra,22.45,Ghana
2071,Greater Accra,22.59,Ghana
2072,Greater Accra,22.38,Ghana
2073,Greater Accra,22.42,Ghana
2074,Greater Accra,22.46,Ghana
2075,Greater Accra,22.41,Ghana
2076,Greater Accra,22.37,Ghana
2077,Greater Accra,22.34,Ghana
2078,Greater Accra,22.38,Ghana
2079,Greater Accra,22.27,Ghana
2080,Greater Accra,22.48,Ghana
2081,Greater Accra,22.53,Ghana
2082,Greater Accra,22.25,Ghana
2083,Greater Accra,22.0,Ghana
2084,Greater Accra,22.39,Ghana
2085,Greater Accra,22.39,Ghana
2086,Greater Accra,22.44,Ghana
2087,Greater Accra,22.43,Ghana
2088,Greater Accra,22.37,Ghana
2089,Greater Accra,22.3,Ghana
2090,Greater Accra,22.41,Ghana
2091,Greater Accra,22.55,Ghana
2092,Greater Accra,22.36,Ghana
2093,Greater Accra,22.45,Ghana
2094,Greater Accra,22.29,Ghana
2095,Greater Accra,22.36,Ghana
2096,Greater Accra,22.2,Ghana
2097,Greater Accra,22.21,Ghana
2098,Greater Accra,22.38,Ghana
2099,Greater Accra,22.4,Ghana
2100,Greater Accra,22.49,Ghana
2015,Northern,14.87,Ghana
2016,Northern,14.79,Ghana
2017,Northern,14.68,Ghana
2018,Northern,14.87,Ghana
2019,Northern,14.8,Ghana
2020,Northern,15.3,Ghana
2021,Northern,14.99,Ghana
2022,Northern,14.89,Ghana
2023,Northern,15.23,Ghana
2024,Northern,15.63,Ghana
2025,Northern,15.43,Ghana
2026,Northern,15.34,Ghana
2027,Northern,15.1,Ghana
2028,Northern,16.03,Ghana
2029,Northern,15.35,Ghana
2030,Northern,15.32,Ghana
2031,Northern,15.61,Ghana
2032,Northern,15.63,Ghana
2033,Northern,15.65,Ghana
2034,Northern,15.44,Ghana
2035,Northern,15.64,Ghana
2036,Northern,15.59,Ghana
2037,Northern,15.22,Ghana
2038,Northern,15.37,Ghana
2039,Northern,15.54,Ghana
2040,Northern,15.44,Ghana
2041,Northern,15.8,Ghana
2042,Northern,15.56,Ghana
2043,Northern,15.7,Ghana
2044,Northern,15.58,Ghana
2045,Northern,15.82,Ghana
2046,Northern,15.59,Ghana
2047,Northern,15.47,Ghana
2048,Northern,15.79,Ghana
2049,Northern,15.71,Ghana
2050,Northern,15.86,Ghana
2051,Northern,15.75,Ghana
2052,Northern,15.67,Ghana
2053,Northern,15.43,Ghana
2054,Northern,15.53,Ghana
2055,Northern,15.81,Ghana
2056,Northern,15.76,Ghana
2057,Northern,15.77,Ghana
2058,Northern,15.59,Ghana
2059,Northern,15.44,Ghana
2060,Northern,15.86,Ghana
2061,Northern,15.88,Ghana
2062,Northern,15.86,Ghana
2063,Northern,15.41,Ghana
2064,Northern,15.76,Ghana
2065,Northern,16.06,Ghana
2066,Northern,15.63,Ghana
2067,Northern,15.9,Ghana
2068,Northern,15.74,Ghana
2069,Northern,15.69,Ghana
2070,Northern,15.82,Ghana
2071,Northern,15.74,Ghana
2072,Northern,15.75,Ghana
2073,Northern,15.86,Ghana
2074,Northern,15.6,Ghana
2075,Northern,15.94,Ghana
2076,Northern,15.67,Ghana
2077,Northern,15.69,Ghana
2078,Northern,15.6,Ghana
2079,Northern,16.22,Ghana
2080,Northern,15.54,Ghana
2081,Northern,15.57,Ghana
2082,Northern,15.48,Ghana
2083,Northern,15.0,Ghana
2084,Northern,15.53,Ghana
2085,Northern,15.62,Ghana
2086,Northern,15.56,Ghana
2087,Northern,15.67,Ghana
2088,Northern,15.62,Ghana
2089,Northern,15.61,Ghana
2090,Northern,15.84,Ghana
2091,Northern,15.62,Ghana
2092,Northern,15.78,Ghana
2093,Northern,15.36,Ghana
2094,Northern,15.37,Ghana
2095,Northern,15.28,Ghana
2096,Northern,15.43,Ghana
2097,Northern,15.3,Ghana
2098,Northern,15.03,Ghana
2099,Northern,15.71,Ghana
2100,Northern,15.4,Ghana
2015,Upper East,14.56,Ghana
2016,Upper East,14.37,Ghana
2017,Upper East,14.35,Ghana
2018,Upper East,14.67,Ghana
2019,Upper East,14.55,Ghana
2020,Upper East,14.76,Ghana
2021,Upper East,14.66,Ghana
2022,Upper East,14.47,Ghana
2023,Upper East,15.06,Ghana
2024,Upper East,15.36,Ghana
2025,Upper East,15.13,Ghana
2026,Upper East,14.95,Ghana
2027,Upper East,14.88,Ghana
2028,Upper East,15.41,Ghana
2029,Upper East,15.25,Ghana
2030,Upper East,14.95,Ghana
2031,Upper East,15.05,Ghana
2032,Upper East,15.08,Ghana
2033,Upper East,15.34,Ghana
2034,Upper East,15.07,Ghana
2035,Upper East,15.26,Ghana
2036,Upper East,15.0,Ghana
2037,Upper East,15.0,Ghana
2038,Upper East,15.1,Ghana
2039,Upper East,15.14,Ghana
2040,Upper East,14.93,Ghana
2041,Upper East,15.35,Ghana
2042,Upper East,15.12,Ghana
2043,Upper East,15.13,Ghana
2044,Upper East,15.33,Ghana
2045,Upper East,15.42,Ghana
2046,Upper East,15.23,Ghana
2047,Upper East,15.39,Ghana
2048,Upper East,15.31,Ghana
2049,Upper East,15.5,Ghana
2050,Upper East,15.62,Ghana
2051,Upper East,15.48,Ghana
2052,Upper East,15.24,Ghana
2053,Upper East,14.71,Ghana
2054,Upper East,14.94,Ghana
2055,Upper East,15.49,Ghana
2056,Upper East,15.5,Ghana
2057,Upper East,15.19,Ghana
2058,Upper East,15.04,Ghana
2059,Upper East,15.03,Ghana
2060,Upper East,15.59,Ghana
2061,Upper East,15.43,Ghana
2062,Upper East,15.69,Ghana
2063,Upper East,15.14,Ghana
2064,Upper East,15.42,Ghana
2065,Upper East,15.42,Ghana
2066,Upper East,15.48,Ghana
2067,Upper East,15.64,Ghana
2068,Upper East,15.76,Ghana
2069,Upper East,15.4,Ghana
2070,Upper East,15.56,Ghana
2071,Upper East,15.54,Ghana
2072,Upper East,15.54,Ghana
2073,Upper East,15.43,Ghana
2074,Upper East,15.12,Ghana
2075,Upper East,15.8,Ghana
2076,Upper East,15.49,Ghana
2077,Upper East,15.31,Ghana
2078,Upper East,15.41,Ghana
2079,Upper East,16.17,Ghana
2080,Upper East,15.4,Ghana
2081,Upper East,15.01,Ghana
2082,Upper East,15.7,Ghana
2083,Upper East,14.79,Ghana
2084,Upper East,15.2,Ghana
2085,Upper East,15.18,Ghana
2086,Upper East,15.29,Ghana
2087,Upper East,15.32,Ghana
2088,Upper East,15.59,Ghana
2089,Upper East,15.17,Ghana
2090,Upper East,15.5,Ghana
2091,Upper East,15.31,Ghana
2092,Upper East,15.46,Ghana
2093,Upper East,15.02,Ghana
2094,Upper East,15.08,Ghana
2095,Upper East,14.77,Ghana
2096,Upper East,15.14,Ghana
2097,Upper East,14.85,Ghana
2098,Upper East,14.6,Ghana
2099,Upper East,15.28,Ghana
2100,Upper East,15.24,Ghana
2015,Upper West,14.01,Ghana
2016,Upper West,14.02,Ghana
2017,Upper West,13.96,Ghana
2018,Upper West,14.3,Ghana
2019,Upper West,14.19,Ghana
2020,Upper West,14.54,Ghana
2021,Upper West,14.43,Ghana
2022,Upper West,14.18,Ghana
2023,Upper West,14.74,Ghana
2024,Upper West,14.99,Ghana
2025,Upper West,14.64,Ghana
2026,Upper West,14.46,Ghana
2027,Upper West,14.41,Ghana
2028,Upper West,14.79,Ghana
2029,Upper West,14.69,Ghana
2030,Upper West,14.44,Ghana
2031,Upper West,14.57,Ghana
2032,Upper West,14.74,Ghana
2033,Upper West,14.9,Ghana
2034,Upper West,14.6,Ghana
2035,Upper West,14.77,Ghana
2036,Upper West,14.6,Ghana
2037,Upper West,14.76,Ghana
2038,Upper West,14.84,Ghana
2039,Upper West,14.73,Ghana
2040,Upper West,14.6,Ghana
2041,Upper West,14.89,Ghana
2042,Upper West,14.63,Ghana
2043,Upper West,14.73,Ghana
2044,Upper West,14.96,Ghana
2045,Upper West,14.78,Ghana
2046,Upper West,14.76,Ghana
2047,Upper West,14.94,Ghana
2048,Upper West,14.96,Ghana
2049,Upper West,14.92,Ghana
2050,Upper West,15.11,Ghana
2051,Upper West,14.63,Ghana
2052,Upper West,14.94,Ghana
2053,Upper West,14.39,Ghana
2054,Upper West,14.36,Ghana
2055,Upper West,15.11,Ghana
2056,Upper West,15.12,Ghana
2057,Upper West,14.77,Ghana
2058,Upper West,14.43,Ghana
2059,Upper West,14.73,Ghana
2060,Upper West,15.31,Ghana
2061,Upper West,15.0,Ghana
2062,Upper West,15.13,Ghana
2063,Upper West,14.74,Ghana
2064,Upper West,14.95,Ghana
2065,Upper West,14.98,Ghana
2066,Upper West,15.22,Ghana
2067,Upper West,15.44,Ghana
2068,Upper West,15.21,Ghana
2069,Upper West,15.08,Ghana
2070,Upper West,15.24,Ghana
2071,Upper West,15.11,Ghana
2072,Upper West,15.08,Ghana
2073,Upper West,15.01,Ghana
2074,Upper West,14.63,Ghana
2075,Upper West,15.35,Ghana
2076,Upper West,15.12,Ghana
2077,Upper West,14.76,Ghana
2078,Upper West,15.13,Ghana
2079,Upper West,15.57,Ghana
2080,Upper West,15.02,Ghana
2081,Upper West,14.62,Ghana
2082,Upper West,15.18,Ghana
2083,Upper West,14.22,Ghana
2084,Upper West,14.71,Ghana
2085,Upper West,14.87,Ghana
2086,Upper West,14.73,Ghana
2087,Upper West,14.95,Ghana
2088,Upper West,15.19,Ghana
2089,Upper West,14.97,Ghana
2090,Upper West,15.0,Ghana
2091,Upper West,14.99,Ghana
2092,Upper West,15.11,Ghana
2093,Upper West,14.61,Ghana
2094,Upper West,14.95,Ghana
2095,Upper West,14.48,Ghana
2096,Upper West,14.58,Ghana
2097,Upper West,14.48,Ghana
2098,Upper West,13.99,Ghana
2099,Upper West,14.94,Ghana
2100,Upper West,14.77,Ghana
2015,Volta,17.15,Ghana
2016,Volta,17.1,Ghana
2017,Volta,17.21,Ghana
2018,Volta,17.47,Ghana
2019,Volta,17.45,Ghana
2020,Volta,17.79,Ghana
2021,Volta,17.79,Ghana
2022,Volta,17.81,Ghana
2023,Volta,17.97,Ghana
2024,Volta,17.9,Ghana
2025,Volta,17.72,Ghana
2026,Volta,18.04,Ghana
2027,Volta,17.85,Ghana
2028,Volta,18.32,Ghana
2029,Volta,17.78,Ghana
2030,Volta,18.25,Ghana
2031,Volta,18.35,Ghana
2032,Volta,18.14,Ghana
2033,Volta,18.02,Ghana
2034,Volta,18.39,Ghana
2035,Volta,18.35,Ghana
2036,Volta,18.12,Ghana
2037,Volta,17.8,Ghana
2038,Volta,17.93,Ghana
2039,Volta,18.09,Ghana
2040,Volta,18.16,Ghana
2041,Volta,18.4,Ghana
2042,Volta,18.36,Ghana
2043,Volta,18.2,Ghana
2044,Volta,18.27,Ghana
2045,Volta,18.39,Ghana
2046,Volta,18.25,Ghana
2047,Volta,18.09,Ghana
2048,Volta,18.23,Ghana
2049,Volta,18.21,Ghana
2050,Volta,18.77,Ghana
2051,Volta,18.22,Ghana
2052,Volta,18.45,Ghana
2053,Volta,18.2,Ghana
2054,Volta,18.2,Ghana
2055,Volta,18.32,Ghana
2056,Volta,18.1,Ghana
2057,Volta,18.5,Ghana
2058,Volta,18.29,Ghana
2059,Volta,17.93,Ghana
2060,Volta,18.4,Ghana
2061,Volta,18.4,Ghana
2062,Volta,18.52,Ghana
2063,Volta,17.93,Ghana
2064,Volta,18.51,Ghana
2065,Volta,18.36,Ghana
2066,Volta,18.19,Ghana
2067,Volta,18.28,Ghana
2068,Volta,18.53,Ghana
2069,Volta,18.71,Ghana
2070,Volta,18.65,Ghana
2071,Volta,18.47,Ghana
2072,Volta,18.23,Ghana
2073,Volta,18.32,Ghana
2074,Volta,18.39,Ghana
2075,Volta,18.36,Ghana
2076,Volta,18.08,Ghana
2077,Volta,18.59,Ghana
2078,Volta,18.21,Ghana
2079,Volta,18.31,Ghana
2080,Volta,18.33,Ghana
2081,Volta,18.28,Ghana
2082,Volta,18.19,Ghana
2083,Volta,17.85,Ghana
2084,Volta,18.28,Ghana
2085,Volta,18.52,Ghana
2086,Volta,18.43,Ghana
2087,Volta,18.19,Ghana
2088,Volta,18.4,Ghana
2089,Volta,18.42,Ghana
2090,Volta,18.39,Ghana
2091,Volta,18.05,Ghana
2092,Volta,18.4,Ghana
2093,Volta,18.2,Ghana
2094,Volta,18.29,Ghana
2095,Volta,17.98,Ghana
2096,Volta,18.13,Ghana
2097,Volta,18.15,Ghana
2098,Volta,17.88,Ghana
2099,Volta,18.35,Ghana
2100,Volta,17.99,Ghana
2015,Western,19.79,Ghana
2016,Western,19.75,Ghana
2017,Western,20.0,Ghana
2018,Western,20.08,Ghana
2019,Western,20.07,Ghana
2020,Western,20.4,Ghana
2021,Western,20.08,Ghana
2022,Western,20.34,Ghana
2023,Western,20.41,Ghana
2024,Western,20.08,Ghana
2025,Western,20.39,Ghana
2026,Western,20.63,Ghana
2027,Western,20.22,Ghana
2028,Western,20.47,Ghana
2029,Western,20.33,Ghana
2030,Western,20.44,Ghana
2031,Western,20.45,Ghana
2032,Western,20.36,Ghana
2033,Western,20.44,Ghana
2034,Western,20.53,Ghana
2035,Western,20.62,Ghana
2036,Western,20.54,Ghana
2037,Western,20.33,Ghana
2038,Western,20.58,Ghana
2039,Western,20.9,Ghana
2040,Western,20.5,Ghana
2041,Western,20.74,Ghana
2042,Western,20.65,Ghana
2043,Western,20.68,Ghana
2044,Western,20.7,Ghana
2045,Western,20.65,Ghana
2046,Western,20.68,Ghana
2047,Western,20.8,Ghana
