Year,Region,AnnualForecastedDryDays,Country
2054,Volta,51.35,Ghana
2055,Volta,53.02,Ghana
2056,Volta,56.46,Ghana
2057,Volta,55.96,Ghana
2058,Volta,59.81,Ghana
2059,Volta,46.32,Ghana
2060,Volta,57.96,Ghana
2061,Volta,56.81,Ghana
2062,Volta,47.87,Ghana
2063,Volta,61.6,Ghana
2064,Volta,48.75,Ghana
2065,Volta,50.06,Ghana
2066,Volta,53.13,Ghana
2067,Volta,58.87,Ghana
2068,Volta,51.82,Ghana
2069,Volta,65.64,Ghana
2070,Volta,47.16,Ghana
2071,Volta,59.07,Ghana
2072,Volta,55.48,Ghana
2073,Volta,64.16,Ghana
2074,Volta,55.18,Ghana
2075,Volta,47.62,Ghana
2076,Volta,55.26,Ghana
2077,Volta,58.43,Ghana
2078,Volta,53.52,Ghana
2079,Volta,54.47,Ghana
2080,Volta,53.42,Ghana
2081,Volta,57.96,Ghana
2082,Volta,58.94,Ghana
2083,Volta,50.75,Ghana
2084,Volta,47.22,Ghana
2085,Volta,41.04,Ghana
2086,Volta,49.25,Ghana
2087,Volta,54.8,Ghana
2088,Volta,62.63,Ghana
2089,Volta,56.82,Ghana
2090,Volta,59.02,Ghana
2091,Volta,51.57,Ghana
2092,Volta,48.93,Ghana
2093,Volta,51.88,Ghana
2094,Volta,52.87,Ghana
2095,Volta,53.67,Ghana
2096,Volta,60.98,Ghana
2097,Volta,53.42,Ghana
2098,Volta,55.1,Ghana
2099,Volta,56.63,Ghana
2100,Volta,50.5,Ghana
2015,Western,29.63,Ghana
2016,Western,32.54,Ghana
2017,Western,28.2,Ghana
2018,Western,29.34,Ghana
2019,Western,32.65,Ghana
2020,Western,25.34,Ghana
2021,Western,28.01,Ghana
2022,Western,27.55,Ghana
2023,Western,28.11,Ghana
2024,Western,29.85,Ghana
2025,Western,32.27,Ghana
2026,Western,31.07,Ghana
2027,Western,36.52,Ghana
2028,Western,28.58,Ghana
2029,Western,31.7,Ghana
2030,Western,32.23,Ghana
2031,Western,28.79,Ghana
2032,Western,28.81,Ghana
2033,Western,26.77,Ghana
2034,Western,42.78,Ghana
2035,Western,28.31,Ghana
2036,Western,27.46,Ghana
2037,Western,31.82,Ghana
2038,Western,32.06,Ghana
2039,Western,28.69,Ghana
2040,Western,30.03,Ghana
2041,Western,28.99,Ghana
